TimeStamp,Ch4,C2H6,Latitude,Longitude
08/18/2023 02:30:35,2.16123,17.9668,43.0064468384,-84.2346572876
08/18/2023 02:30:36,2.1683,18.4392,43.0063476562,-84.2345428467
08/18/2023 02:30:37,2.16477,17.4502,43.0062446594,-84.2344284058
08/18/2023 02:30:38,2.16658,17.6372,43.0061416626,-84.2343139648
08/18/2023 02:30:39,2.16234,17.3287,43.0060348511,-84.2342071533
08/18/2023 02:30:40,2.16527,17.5578,43.0059318542,-84.2341003418
08/18/2023 02:30:41,2.16935,17.9381,43.0058250427,-84.2339935303
08/18/2023 02:30:42,2.16693,17.7522,43.0057220459,-84.2338867188
08/18/2023 02:30:43,2.16618,17.26,43.0056190491,-84.2337875366
08/18/2023 02:30:44,2.16412,17.5248,43.0055122375,-84.2336807251
08/18/2023 02:30:45,2.16671,17.4365,43.0054092407,-84.2335739136
08/18/2023 02:30:46,2.16528,17.2517,43.0053024292,-84.2334671021
08/18/2023 02:30:47,2.16967,17.0205,43.0051956177,-84.2333602905
08/18/2023 02:30:48,2.16787,16.9269,43.0050926208,-84.233253479
08/18/2023 02:30:49,2.16482,17.5464,43.0049819946,-84.2331390381
08/18/2023 02:30:50,2.16713,16.9807,43.0048751831,-84.2330322266
08/18/2023 02:30:51,2.16793,17.18,43.0047683716,-84.232925415
08/18/2023 02:30:52,2.16144,16.9069,43.0046615601,-84.2328109741
08/18/2023 02:30:53,2.16535,17.266,43.0045547485,-84.2326965332
08/18/2023 02:30:54,2.16342,16.647,43.0044441223,-84.2325897217
08/18/2023 02:30:55,2.16756,17.0547,43.0043334961,-84.2324752808
08/18/2023 02:30:56,2.16576,17.1065,43.0042304993,-84.2323684692
08/18/2023 02:30:57,2.162,17.7461,43.004119873,-84.2322616577
08/18/2023 02:30:58,2.16222,17.1321,43.0040130615,-84.2321548462
08/18/2023 02:30:59,2.16271,16.9869,43.00390625,-84.2320480347
08/18/2023 02:31:00,2.16497,17.4201,43.0037956238,-84.2319335938
